date,close,high,low,mts,open,volume
2024-02-28,2151.0,2173.8,2151.0,1709078400000,2165.1,0.12600092999999998
2024-02-27,2151.9,2167.1,2092.2,1708992000000,2102.1,59.22571807
2024-02-26,2102.1,2102.1,2039.1,1708905600000,2047.6,15.98511895
2024-02-25,2051.6,2064.2,2018.2,1708819200000,2044.2,10.08696212
2024-02-24,2045.9,2107.5,1973.6,1708732800000,1990.8,58.97262201
2024-02-23,1986.2,2034.2,1946.2,1708646400000,2026.9,107.5124653
2024-02-22,2022.8,2064.4,2016.0,1708560000000,2048.1,39.17245561
2024-02-21,2050.6,2129.9,1996.9,1708473600000,2129.9,42.79132174
2024-02-20,2126.1,2159.6,2061.4,1708387200000,2154.8,650.25274984
2024-02-19,2160.9,2222.4,2159.9,1708300800000,2172.8,13.40832476
2024-02-18,2170.8,2195.7,2101.0,1708214400000,2135.2,16.02479773
2024-02-17,2128.8,2144.3,2058.4,1708128000000,2076.9,102.58089003
2024-02-16,2082.0,2121.9,2029.5,1708041600000,2095.8,22.01281903
2024-02-15,2095.4,2118.2,2027.1,1707955200000,2092.2,29.06484005
2024-02-14,2089.7,2129.9,2034.3,1707868800000,2051.4,13.13303254
2024-02-13,2057.9,2130.0,2047.8,1707782400000,2085.7,45.2788936
2024-02-12,2075.2,2078.0,1982.0,1707696000000,2022.1,16.84162206
2024-02-11,2026.3,2037.9,1996.7,1707609600000,2007.3,27.54502148
2024-02-10,2006.1,2010.6,1969.2,1707523200000,1973.0,8.71343397
2024-02-09,1968.9,1988.3,1936.5,1707436800000,1939.7,48.43658911
2024-02-08,1939.7,1962.8,1917.4,1707350400000,1947.5,126.96057256
2024-02-07,1949.6,1964.8,1923.9,1707264000000,1958.4,18.07034005
2024-02-06,1951.8,1961.4,1913.0,1707177600000,1947.0,35.81893593
2024-02-05,1950.5,2001.2,1940.5,1707091200000,1998.5,16.65058362
2024-02-04,1995.0,2026.1,1978.9,1707004800000,2006.1,15.49936129
2024-02-03,2005.3,2024.6,1980.2,1706918400000,1981.8,2.69520822
2024-02-02,1980.4,2009.0,1963.4,1706832000000,2001.3,17.48052119
2024-02-01,1998.1,1998.1,1927.3,1706745600000,1967.3,46.61845482
2024-01-31,1964.5,2034.8,1953.0,1706659200000,2017.1,5.22163911
2024-01-30,2023.7,2042.3,1955.5,1706572800000,1973.8,10.56507601
2024-01-29,1979.4,1991.6,1933.3,1706486400000,1951.0,9.04587864
2024-01-28,1959.8,2028.2,1952.0,1706400000000,2004.4,18.77005541
2024-01-27,2000.5,2095.5,1999.5,1706313600000,2080.2,7.36722194
2024-01-26,2075.2,2104.0,2043.4,1706227200000,2103.0,19.6873427
2024-01-25,2097.1,2144.2,2084.9,1706140800000,2120.3,15.4341708
2024-01-24,2126.1,2126.1,1927.5,1706054400000,1929.0,19.43193329
2024-01-23,1932.2,1985.0,1862.0,1705968000000,1940.8,42.11710716
2024-01-22,1931.5,2006.8,1929.0,1705881600000,1990.1,4.55659687
2024-01-21,1995.1,2016.0,1974.5,1705795200000,1974.5,4.47287094
2024-01-20,1971.3,1995.1,1935.7,1705708800000,1966.1,17.84906515
2024-01-19,1966.7,2018.5,1897.4,1705622400000,1982.8,46.8647909
2024-01-18,1987.2,2042.6,1952.7,1705536000000,1996.2,47.96863753
2024-01-17,1994.6,2022.7,1952.6,1705449600000,2017.1,38.56077469
2024-01-16,2011.5,2055.6,1974.3,1705363200000,2019.5,7.37655524
2024-01-15,2021.0,2080.8,1996.1,1705276800000,2027.4,6.83961774
2024-01-14,2029.8,2112.8,2021.4,1705190400000,2070.7,18.77327159
2024-01-13,2072.2,2109.4,2034.9,1705104000000,2036.8,7.23481203
2024-01-12,2026.0,2182.4,1939.8,1705017600000,2150.1,34.12798787
2024-01-11,2144.4,2251.4,2008.6,1704931200000,2028.1,38.87046608
2024-01-10,2037.0,2039.8,1850.7,1704844800000,1850.7,78.62219218
2024-01-09,1833.9,1876.6,1755.2,1704758400000,1822.8,34.94521961
2024-01-08,1822.2,1970.0,1718.4,1704672000000,1754.9,37.22670681
2024-01-07,1752.9,1858.8,1695.3,1704585600000,1698.2,10.14407453
